2025-08-08 03:26:43 | user=(none) | action=useradd | target=Alice | result=success
2025-08-08 03:26:43 | user=(none) | action=useradd | target=Alice | result=success
2025-08-08 03:27:08 | user=(none) | action=useradd | target=Bob | result=success
2025-08-08 03:27:08 | user=(none) | action=useradd | target=Bob | result=success
2025-08-08 03:27:20 | user=(none) | action=login | target=Alice | result=failed_no_user
2025-08-08 03:29:05 | user=(none) | action=login | target=alice | result=failed_no_user
2025-08-08 03:31:23 | user=(none) | action=login | target=alice | result=failed_no_user
2025-08-08 03:31:30 | user=(none) | action=useradd | target=alice | result=success
2025-08-08 03:31:30 | user=(none) | action=useradd | target=alice | result=success
2025-08-08 03:31:59 | user=Alice | action=login | target=Alice | result=success
2025-08-08 03:32:13 | user=Alice | action=mkdir | target=Documents | result=success
2025-08-08 03:32:23 | user=Alice | action=cd | target=Documents | result=success
2025-08-08 03:32:26 | user=Alice | action=pwd | target=- | result=success
2025-08-08 03:32:35 | user=Alice | action=touch | target=file.txt | result=success
2025-08-08 03:32:37 | user=Alice | action=ls | target=- | result=success
2025-08-08 03:32:44 | user=Alice | action=ls | target=- | result=success
2025-08-08 03:33:23 | user=Alice | action=logout | target=- | result=success
2025-08-08 03:33:53 | user=Bob | action=login | target=Bob | result=success
2025-08-08 03:34:51 | user=Bob | action=cd | target=.. | result=success
2025-08-08 03:35:02 | user=Bob | action=cd | target=Alice | result=success
2025-08-08 03:37:48 | user=Bob | action=cd | target=Alice/ | result=success
2025-08-08 03:37:56 | user=Bob | action=cd | target=Alice | result=success
2025-08-08 03:38:09 | user=Bob | action=pwd | target=- | result=success
2025-08-08 03:38:39 | user=Bob | action=unknown_command | target=write | result=failed
2025-08-08 03:39:10 | user=Bob | action=unknown_command | target=write | result=failed
